Filename,Title,Abstract
"68856e3fa0dada0102354c58_Frequency-based Substructuring using Scanning Laser Doppler Vibrometry (translated Frekvens-baseret substrukturering ved.pdf","Frequency-based Substructuring using Scanning Laser Doppler Vibrometry","Frequency-Based Substructuring is a method used to predict the dynamic behavior of an assembled mechanical system by coupling the frequency response functions of its individual components. Traditionally, vibration responses in Frequency -Based Substructuring are measured using accelerometers. This study explores the feasibility of using a Scanning Laser Doppler Vibrometer as a non -contact alternative. The instrument offers distinct advantages, such as the ability to capture vibration responses across a predetermined grid of points without physically contacting the structure. The thesis includes both a numerical simulation and a physical experiment, comparing the coupled frequency response functions of a benchmark structure (obtained via Frequency-Based Substructuring) to the reference. Results from the simulation demonstrate strong agreement between the coupled system and the reference. The physical experiment also shows good agreement, even though it is slightly lower . This discrepancy is primarily attributed to the excitation method (a piezoelectric actuator ), which is just as critical as the measurement technique for obtaining accurate vibration data."
"68841cc3762f9c0102790a14_Parallel Compression Algorithms (translated Paralleliserede Kompressionsalgoritmer).pdf","Parallel Compression Algorithms","We study two algorithms relevant for designing a parallelised Lempel-Ziv-77 compression scheme. First, we optimise the All Nearest Smaller Values algorithm from (Berkman et al., 1993), and then we design a variant of it that is suitable for running on a GPU while performingO(n)work with O(log2(n))span on n lg(n) threads on a CREW PRAM. When implemented, our GPU version achieves a 4-5 times speed-up over our CPU version. We then design a GPU version of the precomputation of Lowest Common Ancestor queries described in (Schieber & Vishkin,1988) in order to answer Range Minimum Query queries in constant time. It performsO(n)work and has O( p nlog(n) )span on q n lg(n) − 1threads on a CREW PRAM. Page 5 of 57"
"68841cc4b47df20102b023e0_Approximation Algorithms for Replenishment Problems with Fixed Turnover Times (translated Approksimations algoritmer til.pdf","Approximation Algorithms for Replenishment Problems with Fixed Turnover Times","In this thesis, we study a problem called Replenishment Problems with Fixed Turnover Times (RFTT). The problem was first presented in [1] and combines routing and schedul- ing, two already hard classes of problems. It models a network of clients who each store a commodity. The amount each client has stored depletes over time. A client should never run out of this commodity, so we must ensure that we visit each client and refill their stock often enough. How quickly stock depletes varies from client to client, and it is allowed to visit and refill a client way before the clients stocks runs out. In this thesis we, like in [1], study both the Min-A vg and Min-Max versions of the problem, where the objectives are to minimize average cost of a route and minimize the cost of the longest route respec- tively. We cover the approximation algorithms on trees for both metrics given by [1] and we improve the complexity of their pseudo-polynomial algorithm for Min-A vg on a path. We then give a polynomial time algorithm for Min-Max on cycles, a 4-approximation for Min-A vg on cycles and insight into how a pseudo-polynomial algorithm for Min-A vg on cycles might be achieved. Finally we combine the ideas from the tree algorithms and cycle algorithms to give approximation algorithms for graphs, where all cycles are disjoint. On these graphs we give an algorithm for finding optimal routes, a 6 + NC-approximation for Min-Max, where NC is the number of cycles in a graph, and a 4-approximation for Min-A vg. Approximation Algorithms for Replenishment Problems with Fixed Turnover Times ii"
"68841cc6439dc00102b37cac_Assessment of solar energy in Greenland Analyzing potential and resource availability (translated Analyse af potentialet.pdf","Assessment of solar energy in Greenland Analyzing potential and resource availability","Abstract not found"
"5d04d261d9001d010a45c03d_Comparativ analysis of intervention strategies for a high rise building using Fire Brigade Intervention Model indsatsstr.pdf","Comparativ analysis of intervention strategies for a high rise building using Fire Brigade Intervention Model indsatsstr","High-rises sprout all over the country, but the knowledge regarding the necessary fire safety measures, fire safety guidelines concerning building taller than 45 meters and knowledge regarding intervention in high -rises lag behind in Denmark. Therefore, is it chosen to investigate if the Fire Brigade Intervention Model (FBIM) can be of use in Denmark, if FBIM can be used to identify effects of different intervention strategies, and what impact using stairs vs. a firefighter lift has on the intervention. A series of interviews have been conducted with different Danish and foreign Fire and Rescue services in order to identify the different intervention strategies used in the case of fire in a high -rise. Fire and rescues services in in Denmark as well as Sweden, Finland and the US have been interviewed. The different discovered intervention strategies have been analyzed in FBIM and the result have been used in a comparative analysis. The different identified intervention strategies have been applied on a speci fic building case in order to form a basis for comparison. The result shows a positive effect on intervention times when a carefully planned standard operation procedure (SOP) is put in to use. A difference in total intervention time, time for reaching th e fire compartment ready to conduct search and rescue and time of when additional resources will arrive are identified when the different intervention strategies are compared. The result also shows the effect employment of firefighters, which have a negative effect on intervention time. If stairs are used instead of lift, the time taken to reach the fire compartment is increased by a factor of 3.0 - 3.4 depending on employment of the firefighters. Resumé Højhusbyggeriet skyder op over hele landet, men vid en om de nødvendige brandsikkerheds foranstaltninger, retningslinjer for brandsikkerhed i bygninger højere end 45 meter og viden om brandvæsnets indsats procedure i højhusene halter bagefter i Danmark. Derfor er det valgt at undersøge, om den Australske mo del ”the Fire Brigade Intervention Model” (FBIM) kan anvendes i en dansk kontekst, om FBIM kan identificere effekten ved brugen af forskellige indsats procedure, og hvilken effekt brugen af trapper kontra brandmandselevator har på hele indsatsen tiden. Der er blevet gennemført en række interviews med forskellige danske og udenlandske beredskaber. Dette med henblik på at identificere forskellige standard indsats procedurer i tilfælde af brand i e t højhus. Beredskaber fra Danmark samt Sverige, Finland og USA er blevet interviewet. De forskellige identificerede indsats procedure er analyseret i FBIM, og resultaterne underlagt en komparativ analyse. De forskellige identificerede indsats procedure er blevet an vendt på et bestemt højhus projekt for at danne grundlag for en sammenligning af resultater. Resultaterne viser en positiv effekt på indsatstiden ved brug af en nøje planlagt indsats strategi ned skrevet i en i standard operation procedure (SOP). En forske l i den samlede indsatstid, tiden til at røgdykkerholdet er klar til indsats på etagen, og tidspunktet for, hvornår yderligere ressourcer vil ankomme, kan identificeres, når de forskellige indsats procedure sammenlignes. Resultaterne viser også en positiv effekt af bru g af brandmandselevator kontra brug af trapper. Hvis trapper anvendes i stedet for elevator, øges tiden for hvornår røgdykkerne er klar på etagen med faktor 3 ,0 – 3,4 afhængigt af om der er tale om fuldtids eller deltids beredskaber."
"688179c3e3c31f0102091152_Chemically enhanced bioremediation of 1,2-cis-dichloroethylene in a limestone aquifer (translated Kemisk stimuleret bio-.pdf","Chemically enhanced bioremediation of 1,2-cis-dichloroethylene in a limestone aquifer","Groundwater contamination by chlorinated solvents, particularly cis-1,2-dichloroethylene (cDCE), poses a significant threat to drinking water resources, especially in fractured lime- stone aquifers. This thesis assess the potential of three remediation strategies: Biogeochemi- cal Reductive Dechlorination (BiRD), Enhanced Reductive Dechlorination (ERD), and their combined application to treat a cDCE-dominated contaminant plume at the Naverland site in Denmark. Laboratory-scale batch experiments were conducted using bioactive ground- water and limestone to simulate site-specific conditions. Four scenarios were tested: natural attenuation, GeoForm® Soluble (a ferrous sulfate-based amendment), KB-1® (a containing microbial consortium Dehalococcoides ), and a combination of GeoForm® and KB-1®. The results demonstrated that ERD using KB-1® was the most effective approach, achiev- ing complete dechlorination of cDCE to ethene with high degradation rates. Despite its the- oretical potential, BiRD produced no observable degradation of target compounds within the study’s duration due to delayed formation of reactive iron sulphide (FeS) and insuf- ficient reductive conditions. The combined treatment accelerated FeS formation through sulfate-reducing bacteria (SRB) in KB-1®. The high iron and sulphide concentrations from GeoForm® inhibited Dehalococcoides activity , significantly reducing degradation eﬀiciency. Despite this inhibition, the detection of vinyl chloride and ethene at low levels confirmed persistent biotic degradation.” These findings highlight the importance of redox control, amendment compatibility , and microbial resilience in remediation design. Given the site’s hydrogeology and buffering capacity , ERD using KB-1® is recommended for field-scale implementation. Keywords: Chlorinated ethenes, Groundwater treatment, Bioaugmentation, Aquifer geo- chemistry , Laboratory microcosms vii"
"6882cb453a64980102753dbe_Inverse Reinforcement Learning for Decision Making in Autonomous Ship Navigation (translated Inverse Reinforcement Learn.pdf","Inverse Reinforcement Learning for Decision Making in Autonomous Ship Navigation","The shipping industry is progressing towards the fully autonomous operation of vessels. However, there are still many challenges in achieving safe and reliable decision making in confined and congested waterways. The present thesis contributes to this research area by investigating the use of Inverse Reinforcement Learning (IRL) for decision making in Autonomous Ship Navigation (ASN) . IRL is a promising approach since it not only en­ ables learning of decision making policies but also the inference of reward functions that encode the underlying motives of expert vessel captains. The primary objectives of this thesis were to first translate the publicly available Automatic Identification System (AIS) ­ data into a format that allowed for the application of IRL methods and to subsequently learn, evaluate and compare policies and reward functions for Goal­Only Navigation (GO­ Navigation) and Environment­Aware Navigation (EA­Navigation) derived by different IRL methods. First, the AIS­data has been analysed and preprocessed using maritime domain knowl­ edge. Based on the insights gained, the available information from the AIS­data has been embedded into a Markov Decision Process (MDP) . This entailed the implementation of a 2­ Degree of Freedom (DoF) kinematic vessel simulator, the development and evalu­ ation of two observation definitions as well as the development and evaluation of three distinct methods to infer actions from AIS­data. A graph­based observation definition and a Kalman filter­based approach for action inference were chosen. Three different algorithms ­ Behaviour Cloning (BC) , Adversarial Inverse Reinforcement Learning (AIRL) and Approximate Variational Reward Imitation Learning (AVRIL) ­ were evaluated on both navigation tasks. BC was used as a baseline and demonstrated decent waypoint­following behaviour and good signs of environmental awareness. It also helped establish that Graph Neural Networks (GNNs) are a superior choice for policy and reward network architectures in the EA­Navigation task. AIRL showed the best result in the GO­ Navigation setting with well­performing policies and plausible reward functions. In the EA­Navigation task, the learned policy showed insufficient behaviours, while the reward function was interpretable but only provided limited insights. AVRIL performed well for GO­Navigation but showed inconsistencies in the more complex task. High uncertainties and collapses to a standard normal distribution limited the interpretability of the reward distribution. Inverse Reinforcement Learning for Decision Making in Autonomous Ship Navigation iii"
"688179cab4828e010294aa2b_Modelling price volatility in the maritime sector for decarbonization (translated Modellering af prisvolatilitet i den m.pdf","Modelling price volatility in the maritime sector for decarbonization","This thesis introduces an original integration of market dynamics into the bunker optimization module of the NavigaTE algorithm, developed within the Mærsk Mc­Kinney Møller Center for Zero Carbon Shipping. By replacing static fuel cost assumptions with a dynamic pricing mech­ anism informed by shadow prices and iterative convergence, the model captures fuel allocation decisions under realistic market constraints. This enhancement enables a more responsive and economically grounded representation of fuel distribution in the context of maritime de­ carbonisation, improving the fidelity of system level assessments under regulatory and supply limitations. Modelling Market Dynamics within the Maritime Sector iii"
"5d1c8d6bd9001d146569a4b3_Characterising eye-motion patterns in patients with autistic spectrum disorders using machine learning (translated Karak.pdf","Characterising eye-motion patterns in patients with autistic spectrum disorders using machine learning","Do individuals with Autism Spectrum Disorder (ASD) look at faces diﬀerently from individuals without ASD? Several studies have investigated this, however the results are varying. This is due to diﬀerent experimental setups and perhaps that they used diﬀerent predeﬁned areas of interest (AOIs) in the face and merely counted how long the subjects looked inside them. In this thesis, ﬁrst-order Hidden Markov Models (HMMs) with Gaussian (mixture) emissions and repeated stratiﬁed K-fold cross validation were instead used to model the face viewing patterns of individuals with and without ASD. The purpose was to construct a (Bayes) classiﬁer that could diagnose ASD solely based upon the eye tracking data obtained by Johnels et al. 2017, where subjects with and without ASD looked at short movies and images of faces showing either no emotion (neutral) or an emotion (anger, fear and happiness). When using the data obtained from looking at the images of faces with anger, fear or happiness, the classiﬁer turned out signiﬁcantly diﬀerent from random to correctly classify 6-7 out of 10 on average, whereas for neutral and all four combined it was 5-6 out of 10 correctly classiﬁed and not signiﬁcantly diﬀerent from random. The performance was best using only the happy faces with a mean area under the receiver operating characteristic curve (AUC) being 0 .657. This agrees with studies concluding a diﬀerence in viewing patterns as a function of facial emotions compared to neutral and also the study of Johnels et al. 2017 which expected and found diﬀerences speciﬁc to the happy faces. Further studies could attempt to improve the classiﬁer, for example by tailor- ing the HMM towards the speciﬁc problem, by learning more about the ASD and control groups from other features or methods and use it in the classiﬁer, by at- tempting to use the dynamic videos instead of static pictures, and ﬁnally improve the quantity and quality of the data by redoing the eye tracking experiment. 1"
"TEST.pdf","TEST","Anthropogenic impacts on marine habitats are a global problem, less than 15% Europe’s coastline areas are considered to be in a good environmental condition. Extraction of large boulders from coastal reefs for construction purposes has led to degradation of this type of habitat. Boulder reefs are important fish habitats containing complex structures that provide refuge for fish and hard substrate for benthic fauna. In the past 100 years, it has been estimated that at least 42 km2 of boulders from predominantly shallow cavernous reefs have been extracted from Danish waters. Resent restoration efforts have shown that the loss of species diversity associated with boulder reef degradation may be reversed by restoring the boulder habitats. However, the debate about whether a “Single Large or Several Small” (SLOSS) will host the highest species richness and abundances in relation to restoration of boulder reefs has not been investigated. Here we show that construction of boulder reefs significantly increases species richness and abundances. Several small boulder reefs hosted a higher species richness than single large boulder reef, but there was no significant difference in abundances between single large and several small boulder reefs. Our results demonstrate that the SLOSS debate should be considered in future restoration as well in management plan for boulder reefs. Introduction One of the greatest challenges of the 21st century is the preservation of biodiversity by increasing the numbers of protected habitats. In Europe alone, less than 15% of the coastline areas are considered in a good environmental condition, leaving more than 85% of coastal areas degraded (Kristensen et al., 2017). Impacts can be due to direct exploitation of coastal resources like overfishing, land reclamation of shallow- water habitats and extraction of raw materials including: boulders, cobble and pebbles from the seafloor (Dahl, 2003; Støttrup, 1999). Indirect effects like chemical and nutrient pollution originating from urbanization and industry are also contributors to the degradation of the marine habitat (Halpern et al., 2008; Korpinen, Meski, Andersen, & Laamanen, 2012). Offshore boulder reefs have a high biodiversity and are a rare and biologically important reef type at the national and European level (Stenberg et al. 2015). In Denmark, boulder reefs in shallow areas have been"
