"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2025-08-02T00:10:19.560Z";"Søndergaard, Christoffer Brix|Larsen, Simon Schytt|Egehus, Frederik";"";"2872712874";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"688d576bca26f00102f96cc0";"";"688d576bca26f00102f96cc0";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Developing a Procedure for Forecasting Cost and Time of API CAPEX Projects at Novo Nordisk|Udvikling af en procedure til prognoser for omkostninger og tid for API CAPEX projekter hos Novo Nordisk"
"";"dtu|dtupub|third_party";"";"2025-07-28T00:10:10.599Z";"Perote, Alba Castrillo";"";"2872572154";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6886bfe2768481010206076d";"";"6886bfe2768481010206076d";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Estimation of physiological cycles during magnetic resonance imaging using optical motion tracking data|Estimering af hjerterytme og respiration under magnetisk resonans billeddannelse baseret pa bevægelsesparametre"
"";"dtu|dtupub|third_party";"";"2025-07-28T00:11:05.374Z";"Dulski, Bartosz";"";"2872572354";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6886c015eaf9dc0102a3781b";"";"6886c015eaf9dc0102a3781b";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Evaluation of batch vs. fed-batch strategy for biomass formation|Evaluering af batch vs. fed-batch strategi for biomassedannelse"
"";"dtu|dtupub|third_party";"";"2025-08-17T00:10:36.353Z";"Panagiotopoulou, Anastasia-Danai";"";"2873041338";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"68a11df378acb901026b0319";"";"68a11df378acb901026b0319";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Extending the Attribute Based Access Control Model (ABAC) with Honey-Attributes for Insider Threat Detection|Extending the Attribute Based Access Control Model (ABAC) with Honey-Attributes for Insider Threat Detection"
"";"dtu|dtupub|third_party";"";"2025-08-03T00:10:22.852Z";"Guichard, Baptiste Francois Jean";"";"2872727709";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"688ea8ee0d164c0102570da6";"";"688ea8ee0d164c0102570da6";"DTU Department of Space Research and Space Technology";"sorbit";"sorbit";"Simulating the motion of particles around rotating neutron stars|Simulering af motion af partikler omkring roterende neutronstjerner"
"";"dtu|dtupub|third_party";"";"2025-08-03T00:11:04.412Z";"Keramari, Paraskevi|Qin, Lang|Meyer, Kevin Grenaae";"";"2872728039";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"688ea918eb8018010276857c";"";"688ea918eb8018010276857c";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Modelling configurator for pneumatic conveyor systems at Kongskilde|Modellering af konfigurator for transportsystemer hos Kongskilde A/S"
"";"dtu|dtupub|third_party";"";"2025-07-28T00:11:38.867Z";"Zanola, Lorenzo|Szarvas, László András";"";"2872572397";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6886c02729c64101026554c2";"";"6886c02729c64101026554c2";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"nalysis of heat pump designs for waste heat recovery from refrigeration plants|Analyse af varmepumpedesign til genvinding af spildvarme fra køleanlæg"
"";"dtu|dtupub|third_party";"";"2025-08-24T00:09:47.107Z";"Stappert, Frederik";"";"2873197349";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"68aa584b85926b8f09e4b4d1";"";"68aa584b85926b8f09e4b4d1";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Design in Safety-related Functions and Development of an Autonomous Painting Robot|Design in Safety-related Functions and Development of an Autonomous Painting Robot"
"";"dtu|dtupub|third_party";"";"2025-08-26T00:09:30.696Z";"Christodoulakis, Efthymios|Arrocha, Raquel Caroline Bishop";"";"2873266369";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"68acfb39bcaac88f09e990c2";"";"68acfb39bcaac88f09e990c2";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Investigation of a PVT system with respect to performance and LCA/LCoH evaluation|Undersøgelse af et PVT-system med hensyn til ydeevne og LCA/LCoH-evaluering"
"";"dtu|dtupub|third_party";"";"2025-03-04T02:04:35.843Z";"Paulsen, Astrid Lund";"";"2868448801";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"67c6530812190894157d9738";"";"67c6530812190894157d9738";"DTU Department of Chemistry";"sorbit";"sorbit";"Screening and analysis of metabolites in yeast extract and fermentation using LC-MS/MS|Screening og analyse af metabolitter i gær ekstrakter og fermentering ved brug af LC MS/MS"
