"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2023-07-30T00:11:11.062Z";"Pedersen, Kamma Nørrelund";"";"2727401448";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64c5aa9fb725191f4f120ceb";"";"64c5aa9fb725191f4f120ceb";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Modeling of Photonic Quantum Information Processors|Modellering af integrerede optiske kredsløb til processering af kvanteinformation"
"";"dtu|dtupub|third_party";"";"2023-08-28T00:09:24.566Z";"Christiansen, Magnus Andreas Hilduberg";"";"2727909690";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64ebe5b438ff392052378196";"";"64ebe5b438ff392052378196";"DTU Department of Physics";"sorbit";"sorbit";"Energy transfer from a vibrationally hot chromophore to a solvent: Molecular dynamics modelling and simulation of the X-ray scattering signal of solvent heating|Energioverførsel fra en vibrationel varm kromofor til et solvent: Molekylær dynamik modellering og simulering af Røntgenspredningssignaturer af solventopvarmning"
"";"dtu|dtupub|third_party";"";"2024-02-10T06:17:57.597Z";"Gao, Wenmiao";"";"2731548483";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65c6ccd76147865069f28f05";"";"65c6ccd76147865069f28f05";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Sound source localization in rooms for spatial audio reproduction|Sound source localization in rooms for spatial audio reproduction"
"";"dtu|dtupub|third_party";"";"2023-12-28T01:09:49.906Z";"Mas, Carlos Ramirez";"";"2730620493";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"658ccace63f7342bb9de1604";"";"658ccace63f7342bb9de1604";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"Sustainability and Feasibility assessment of methanol in the maritime industry|Bæredygtigheds- og feasibility-vurdering af metanol i den maritime industri"
"";"dtu|dtupub|third_party";"";"2023-09-08T00:09:41.464Z";"Woods, Joshua";"";"2728172167";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64fa664577c66023c665ea56";"";"64fa664577c66023c665ea56";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Influence of strain-induced martensite in stainless steels on hydrogen resilience|Indflydelse af deformationsmartensit i rustfrit stal pa brintmodstandsdygtighed"
"";"dtu|dtupub|third_party";"";"2023-08-15T00:10:19.975Z";"Sørensen, Lars Morten";"";"2727687721";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64dac26b7298132052fa36c9";"";"64dac26b7298132052fa36c9";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Short-term modal parameter estimation for operating elastic structures|Kortids-estimation af modale parametre for elastiske struktioner under drift"
"";"dtu|dtupub|third_party";"";"2023-07-28T00:11:04.450Z";"Pan, Jingbo";"";"2727365793";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64c307981da6d803a35e4934";"";"64c307981da6d803a35e4934";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Enablers and barriers to engaging in and adopting new creative behaviors in the pharmaceutical engineering context|Katalysatorer og barrierer for at deltage i og tilegne sig ny kreativ adfærd i en farmaceutisk ingeniørvirksomhed"
"";"dtu|dtupub|third_party";"";"2024-08-30T00:10:24.944Z";"Larsen, Jeppe Vilsbøll";"";"2738544799";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"66d10df0d4dbd10184bdba3a";"";"66d10df0d4dbd10184bdba3a";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Development of injection setup for experimental study of cavitation in customized DI diesel nozzle tips while utilizing liquid gaseous fuels|Udvikling af indsprøjtningsopstilling til eksperimentel studie af kavitation i specielt designede DI diesel dyse spidser ved anvendelse af fortættet gas brændstoffer"
"";"dtu|dtupub|third_party";"";"2024-12-23T01:26:59.401Z";"Nielsen, David Christoffer Bisp";"";"2854223563";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6768b84f9db625a804520d7a";"";"6768b84f9db625a804520d7a";"DTU Department of Physics";"sorbit";"sorbit";"Fabrication and characterization of nanostructured photocatalytic superwetting surfaces|Fabrikation og karakterisering af nanostrukturerede fotokatalytisk superbefugtende overflader"
"";"dtu|dtupub|third_party";"";"2024-09-10T09:15:01.446Z";"Vranau, Claudia-Cornelia";"";"2738218376";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"66bd477786a8e2e8f3eae578";"";"66bd477786a8e2e8f3eae578";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Technical foundation for circular product life cycles: a study on design and automation of disassembly processes|En teknisk grundlag for cirkulære produkter: undersøgelse af design og automatisering af demonteringsprocesser"
