"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:55.979Z";"Kristjánsdóttir, Thórdís";"";"2292735314";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"und";"56d754b0bf19455102000387";"";"56d754b0bf19455102000387";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Genome-scale metabolic reconstruction for Rhodothermus marinus|Genome-scale metabolic reconstruction for Rhodothermus marinus"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:07:20.114Z";"Olsen, Katrine Buur";"";"2306781689";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Design og inn.|Master of Science in Design and Innovation|Master of Science in Engineering|kandidat";"Design og inn.|Master of Science in Design and Innovation|Master of Science in Engineering|kandidat";"Design og inn.|Master of Science in Design and Innovation|Master of Science in Engineering|kandidat";"und";"5795f1b06bbf232e70000bdc";"";"5795f1b06bbf232e70000bdc";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"How does a product's sound impact the user experience and how can product sound design improve the user experience? Novo Nordisk as case company|Hvad gør produktets lyd for brugeroplevelsen og hvordan kan lyd evt. forbedre brugeroplevelsen? Novo Nordisk som casevirksomhed"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:43.880Z";"Sarros, Ioannis";"";"2292735644";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"gæst dk";"gæst dk";"gæst dk";"und";"56d754b2bf1945510200048f";"";"56d754b2bf1945510200048f";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Design and development of a TTEthernet Evaluation Platform|Design and development of a TTEthernet Evaluation Platform"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:53:32.227Z";"Tejeda, Borja Canellada";"";"2307020030";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"und";"57a1cedb12855c654e00012a";"";"57a1cedb12855c654e00012a";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Knowledge sharing through projects and portfolios within a company|Vidensdeling gennem projekter og porteføljer i en virksomhed"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:07:16.276Z";"Al-Najami, Belal Fayez";"";"2341981692";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Byggetek.|Master of Science in Civil Engineering|Master of Science in Engineering|kandidat";"Byggetek.|Master of Science in Civil Engineering|Master of Science in Engineering|kandidat";"Byggetek.|Master of Science in Civil Engineering|Master of Science in Engineering|kandidat";"und";"57bd7e3cfebd22f360000000";"";"57bd7e3cfebd22f360000000";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Center for culture: Mariehøj. Structural design of components and joints. Micro-static design of alternative joints plus evaluation of heat transfer in the steel after welding|Kulturcenter: Mariehøj. Projektering af komponenter og samlinger. Mikro-statiske analyser af alternative samlingsmetoder samt vurdering af temperaturspredning i stalet ved svejsning."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:17.101Z";"Stassen, Erik";"";"2292734577";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"und";"56d754acbf1945510200018d";"";"56d754acbf1945510200018d";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Plasmons in oscillating graphene membranes|Plasmoner i svingende grafen membraner"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:30.131Z";"Shamsolhodaei, Amirhossein";"";"2292737189";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Petroleum Engineering|Olie- og gastek.|kandidat";"Master of Science in Engineering|Master of Science in Petroleum Engineering|Olie- og gastek.|kandidat";"Master of Science in Engineering|Master of Science in Petroleum Engineering|Olie- og gastek.|kandidat";"und";"56d754b9bf194551020008fd";"";"56d754b9bf194551020008fd";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Strength Criteria from Rock Mechanical Tests|Strength criteria from rock mechanical tests"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:20.873Z";"Hofer, Andreas Torup";"";"2292737744";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Kemisk/biokemisk tek.|Master of Science in Chemical and Biochemical Engineering|Master of Science in Engineering|kandidat";"Kemisk/biokemisk tek.|Master of Science in Chemical and Biochemical Engineering|Master of Science in Engineering|kandidat";"Kemisk/biokemisk tek.|Master of Science in Chemical and Biochemical Engineering|Master of Science in Engineering|kandidat";"und";"56d754bcbf19455102000aeb";"";"56d754bcbf19455102000aeb";"DTU Department of Chemical and Biochemical Engineering";"sorbit";"sorbit";"High temperature methane steam reforming kinetics|Kinetik for methan dampreformering ved høj temperatur"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:06.074Z";"Houf, Daniël";"";"2347704578";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"und";"580b46be0eaf79e53f000017";"";"580b46be0eaf79e53f000017";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Active Pitch Control of Vertical Axis Wind Turbines|Aktiv vingekontrol af vertikalakslet vindmølle"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:11:20.192Z";"Itarte, Marc Jerez";"";"2292737518";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"gæst udl.";"gæst udl.";"gæst udl.";"und";"56d754bbbf19455102000a0c";"";"56d754bbbf19455102000a0c";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Technoeconomy analysis of distinctive hybrid Solid Oxide Fuel Cells based power plants|Technoekonomy analyse af karakteristiske hybride fastoxidbrændselscelle kraftværker"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:23.440Z";"Hansen, Rie Beck";"";"2305633359";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Medicine and Technology|Medicin og tek.|kandidat";"Master of Science in Engineering|Master of Science in Medicine and Technology|Medicin og tek.|kandidat";"Master of Science in Engineering|Master of Science in Medicine and Technology|Medicin og tek.|kandidat";"und";"575ea622e6f951534a00e08d";"";"575ea622e6f951534a00e08d";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Chemical Exchange Saturation Transfer in Magnetic Resonance Imaging|Chemical Exchange Saturation Transfer i MR billeddannelse"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:21.483Z";"Milioti, Maria Anna";"";"2306616347";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bæredygtig energi|Master of Science in Engineering|Master of Science in Sustainable Energy|kandidat";"Bæredygtig energi|Master of Science in Engineering|Master of Science in Sustainable Energy|kandidat";"Bæredygtig energi|Master of Science in Engineering|Master of Science in Sustainable Energy|kandidat";"und";"578e08416bbf232e70000277";"";"578e08416bbf232e70000277";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Design of thermal indoor climate in an office building according to adaptive thermal comfort theory|Design af termisk indeklima i kontorbygning efter adaptiv termisk komfort teori"
