"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2024-03-03T01:30:44.975Z";"Skovhus, Liv Boelskifte";"";"2734025137";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65e3cdd6ae65dc149eef12e8";"";"65e3cdd6ae65dc149eef12e8";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Data-Driven Digital Twin for Optimal Operation of Biogas Plants|Data-drevne digitale tvilling for optimal drift af biogasanlæg"
"";"dtu|dtupub|third_party";"";"2024-03-30T01:09:59.346Z";"Secher, Joachim|Bruun-Andersen, Nicklas";"";"2735225049";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6607666786a6601e2e7c9c17";"";"6607666786a6601e2e7c9c17";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Self-supervised learning for audio classification|Klassifikation af lyd via selvsuperviseret læring"
"";"dtu|dtupub|third_party";"";"2024-03-06T05:02:00.513Z";"Apostolidis, Panagiotis";"";"2734175609";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65e7c256ff14113f799482f7";"";"65e7c256ff14113f799482f7";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Data driven methods in active noise control|Data drevne metoder til aktiv støjdæmpning"
"";"dtu|dtupub|third_party";"";"2024-04-06T00:09:45.925Z";"Muelas, Sara Soledad Abarca de las";"";"2735398535";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"661092c8513c3d1e2e8d419c";"";"661092c8513c3d1e2e8d419c";"DTU Department of Chemical and Biochemical Engineering";"sorbit";"sorbit";"Additives and their influence on thermal and mechanical properties of bacterial polyesters (PHAs)|Additiver og deres indflydelse pa de termiske og mekaniske egenskaber af bacterielt syntetiseret polyestre (PHA)"
"";"dtu|dtupub|third_party";"";"2024-03-17T01:09:45.535Z";"Hansen, Martin Ellehammer";"";"2734412668";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65f642d9fd240c1e2e6e4c4a";"";"65f642d9fd240c1e2e6e4c4a";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Implementation and test of the open charge point protocol in an autonomous charger for electric vehicles|Implementation og test af open charge point protocol i en autonom oplader til elbiler"
"";"dtu|dtupub|third_party";"";"2024-03-06T05:02:02.852Z";"Lamberth, Daniel Offenberg";"";"2734175723";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65e7c2669b02cd3f79bd9336";"";"65e7c2669b02cd3f79bd9336";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Validation of the Eurocode 3 buckling capacity approach for geometrically imperfect monopiles using accurate finite element predictions|Eurocode 3 validering af bulingskapaciteten af geometrisk imperfekte monopiles ved brug af præcise finite element simuleringer"
"";"dtu|dtupub|third_party";"";"2024-04-03T00:09:50.769Z";"Kostopoulos, Marios";"";"2735343444";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"660c9e4e41cc041e2e80af01";"";"660c9e4e41cc041e2e80af01";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"Integration and evaluation of of the Unreal engine 5 as a daylight analysis tool in the design process|Integrering og evaluering af Unreal 5 som værktøj til analyse og design af dagslys i bygninger"
"";"dtu|dtupub|third_party";"";"2024-08-01T06:44:38.988Z";"Becker, Philipp";"";"2737905490";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"66a980ce46ae72e8f348ecc8";"";"66a980ce46ae72e8f348ecc8";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Exploration of Transcriptomic Responses to Plasmid Burden in Escherichia coli|Udforskning af Transkriptomisk Respons pa Plasmidbelastning i Escherichia coli"
"";"dtu|dtupub|third_party";"";"2024-09-10T09:15:06.616Z";"Skytthe, Karoline Broskov";"";"2737226983";"";"dtu";"2024";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"668496de4326201cdf1e0b3f";"";"668496de4326201cdf1e0b3f";"DTU DTU National Food Institute";"sorbit";"sorbit";"Evaluation of mathematical models to predict growth and growth boundary of Bacillus cereus in selected dairy products|Vurdering af matematiske modeller til forudsigelse af vækst og vækst-grænse for Bacillus cereus i udvalgte mejeriprodukter"
"";"dtu|dtupub|third_party";"";"2025-07-21T00:10:01.642Z";"Andreasen, David Bergmann";"";"2872420832";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"687d85593dec240102d5fa47";"";"687d85593dec240102d5fa47";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Statistical phase imbalance profiling based on large-scale per-phase smart meter data|Statistisk profilering af faseubalance baseret pa storskala per-fase data fra intelligente elmalere"
