"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:23.617Z";"Vang, Noel Martin";"";"2292737196";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"und";"56d754b9bf19455102000903";"";"56d754b9bf19455102000903";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Automated security analysis framework|Automatiseret sikkerhedsanalyseværktøj"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:14:56.565Z";"Vilcans, Valdis";"";"2292738412";"";"dtu";"2014";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Digitale medietek.|Master of Science in Digital Media Engineering|Master of Science in Engineering|kandidat";"Digitale medietek.|Master of Science in Digital Media Engineering|Master of Science in Engineering|kandidat";"Digitale medietek.|Master of Science in Digital Media Engineering|Master of Science in Engineering|kandidat";"und";"56d754bebf19455102000cc7";"";"56d754bebf19455102000cc7";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"GPU-Based Global Illumination|GPU-baseret global belysning"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:16.074Z";"Mikkelsen, Rune Tind";"";"2292735705";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"und";"56d754b3bf194551020004cc";"";"56d754b3bf194551020004cc";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Cyber Risk and Resilience in The Maritime Supply Chain|Cyber Risici og Modstandsdygtighed i den Maritime Forsyningskæde."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:10:42.182Z";"Juul, Nicolai Ytterdal";"";"2292740042";"";"dtu";"2014";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Konst. og mekanik|Master of Science in Engineering|Master of Science in Engineering Design and Applied Mechanics|kandidat";"Konst. og mekanik|Master of Science in Engineering|Master of Science in Engineering Design and Applied Mechanics|kandidat";"Konst. og mekanik|Master of Science in Engineering|Master of Science in Engineering Design and Applied Mechanics|kandidat";"und";"56d754c9bf19455102001237";"";"56d754c9bf19455102001237";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Numerical and Experimental Analysis of Indentation|Numerisk og Eksperimentel Analyse af Indentering."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:08.524Z";"Galinos, Christos";"";"2292736599";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"und";"56d754b7bf19455102000727";"";"56d754b7bf19455102000727";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"A Study of Design Load Cases for Multi-Megawatt Onshore Vertical Axis Wind Turbines|Undersøgelse af design laster for en multi-megawatt landbaseret vertical akset vindmølle"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:08.697Z";"Messer, Dolores";"";"2292738607";"";"dtu";"2014";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Mathematical Modelling and Computation|Mat. modellering|kandidat";"Master of Science in Engineering|Master of Science in Mathematical Modelling and Computation|Mat. modellering|kandidat";"Master of Science in Engineering|Master of Science in Mathematical Modelling and Computation|Mat. modellering|kandidat";"und";"56d754bfbf19455102000d4a";"";"56d754bfbf19455102000d4a";"DTU Department of Space Research and Space Technology";"sorbit";"sorbit";"Shear estimation based on large-scale image structure within the framework of the GREAT3 Challenge|Shear estimation based on large-scale image structure within the framework of the GREAT3 Challenge"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:10:30.429Z";"Koplev, Simon";"";"2292739817";"";"dtu";"2014";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"und";"56d754c7bf1945510200115b";"";"56d754c7bf1945510200115b";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Quantifying Influenza Impact from Diverse Surveillance Data|Kvantificering af influenzaepidemier fra heterogene overvagningsdata"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:27.665Z";"Jakobsen, Mark Qvistgaard";"";"2292737436";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"und";"56d754babf194551020009c9";"";"56d754babf194551020009c9";"DTU National Veterinary Institute";"sorbit";"sorbit";"Strategies for convergent synthesis of polylysine dendrimers|Strategier til konvergent syntese af polylysine dendrimerer"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:27.273Z";"Eftekhar, Morteza Ghorbani";"";"2292734524";"";"dtu";"2015";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"und";"56d754abbf19455102000173";"";"56d754abbf19455102000173";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Efficiency Study of Vertical Distance Variations in Wireless Power Transfer for E-Mobility|Effektivitetsstudie af vertikale afstands variationer og deres effekt pa tradløs energioverførsel i E-Mobility"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:07:51.240Z";"Karvounis, Nikolas";"";"2292738228";"";"dtu";"2014";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Konst. og mekanik|Master of Science in Engineering|Master of Science in Engineering Design and Applied Mechanics|kandidat";"Konst. og mekanik|Master of Science in Engineering|Master of Science in Engineering Design and Applied Mechanics|kandidat";"Konst. og mekanik|Master of Science in Engineering|Master of Science in Engineering Design and Applied Mechanics|kandidat";"und";"56d754bebf19455102000c49";"";"56d754bebf19455102000c49";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Numerical Modeling of Fuel Injection and Combustion in Large Two-Stroke Marine Diesel Engines|Numerisk Modellering af Brændstofindsprøjtning og Forbrænding i Store Totakts Marine Dieselmotorer"
