"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:08:06.988Z";"Khawajazada, Ayesha";"";"2341486519";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bioteknologi|Master of Science in Biotechnology|Master of Science in Engineering|kandidat";"Bioteknologi|Master of Science in Biotechnology|Master of Science in Engineering|kandidat";"Bioteknologi|Master of Science in Biotechnology|Master of Science in Engineering|kandidat";"und";"57b59546ade085665b0000d3";"";"57b59546ade085665b0000d3";"DTU National Veterinary Institute";"sorbit";"sorbit";"MicroRNAs in animal models of sepsis and infection|MikroRNA'er i dyremodeller for sepsis og infektion"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:32.334Z";"Chegini, Ali";"";"2385161925";"";"dtu";"2017";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"und";"59b7be835010df28b560639c";"";"59b7be835010df28b560639c";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Best practices for search engine API and website design|Søgemaskine API og hjemmeside design"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:48.372Z";"Johnsen, Mathias Dahl";"";"2319852117";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fotonik|Master of Science in Engineering|Master of Science in Photonics Engineering|kandidat";"Fotonik|Master of Science in Engineering|Master of Science in Photonics Engineering|kandidat";"Fotonik|Master of Science in Engineering|Master of Science in Photonics Engineering|kandidat";"und";"57b04f569baf2b177e0001f7";"";"57b04f569baf2b177e0001f7";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Modeling of second harmonic generation with arbitrary beams|Modellering af frekvensfordobling med arbitrære straler"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:27.731Z";"Heesemann, Carola Elisa";"";"2342057106";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bioteknologi|Master of Science in Biotechnology|Master of Science in Engineering|kandidat";"Bioteknologi|Master of Science in Biotechnology|Master of Science in Engineering|kandidat";"Bioteknologi|Master of Science in Biotechnology|Master of Science in Engineering|kandidat";"und";"57becfc3febd22f360000169";"";"57becfc3febd22f360000169";"DTU DTU National Food Institute";"sorbit";"sorbit";"Development and application of molecular tools for assessment of bacterial growth in the intestinal environment|Udvikling og anvendelse af molekylære værktøjer til maling af bakterievækst in situ i tarmsystemet."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:18.662Z";"Granberg, Mathilde";"";"2292734625";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Medicine and Technology|Medicin og tek.|kandidat";"Master of Science in Engineering|Master of Science in Medicine and Technology|Medicin og tek.|kandidat";"Master of Science in Engineering|Master of Science in Medicine and Technology|Medicin og tek.|kandidat";"und";"56d754acbf194551020001a5";"";"56d754acbf194551020001a5";"DTU Department of Micro- and Nanotechnology";"sorbit";"sorbit";"Development of Methods for Characterisation of Extracellular Vesicles|Udvikling af metoder til karakterisering af ekstracelluler vesikler"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:27.398Z";"Sværke, Jakob";"";"2305633387";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"und";"575ea68be6f951534a00e546";"";"575ea68be6f951534a00e546";"DTU Department of Energy Conversion and Storage";"sorbit";"sorbit";"Synthesis and characterization of non-precious metal catalysts for fuel cells|Syntese og karakterisering af ikke-platin katalysatorer til brændselsceller"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:53:47.423Z";"Walach, Anna Maria";"";"2305633398";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"Informationstek.|Master of Science in Computer Science and Engineering|Master of Science in Engineering|kandidat";"und";"575ea6a3e6f951534a00e647";"";"575ea6a3e6f951534a00e647";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Development of a game for hand- and eye coordination in children rehabilitation|Udvikling af et spil til genoptræning af børn via hand- og øje koordinering."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:11.872Z";"Sandborg-Olsen, Filip";"";"2306064001";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"und";"576e644237562d157a000019";"";"576e644237562d157a000019";"DTU Department of Micro- and Nanotechnology";"sorbit";"sorbit";"Process Development for Micromachined Ultrasonic Transducers|Procesudvikling til Micromachined Ultrasonic Transducers"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:26.984Z";"Sørensen, Nicklas Patrick";"";"2292734198";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"Master of Science in Engineering|Master of science in Bioinformatics and Systems Biology|Systembiologi|kandidat";"und";"56d754aabf194551020000aa";"";"56d754aabf194551020000aa";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Measurements of endo-glucanase activity in natural fruit juice|Maling af endo-glucanase aktivitet i naturlig frugtjuice"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:27.820Z";"Petersen, Susanne Bjerg|Konring, Andreas Sune";"";"2306320453";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Environmental Engineering|Miljøteknologi|kandidat";"Master of Science in Engineering|Master of Science in Environmental Engineering|Miljøteknologi|kandidat";"Master of Science in Engineering|Master of Science in Environmental Engineering|Miljøteknologi|kandidat";"und";"577b934c37562d157a0001ca";"";"577b934c37562d157a0001ca";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Effects of trees towards climate adaptation in Copenhagen|Effekten af træer som en del af klimatilpasningen i København"
