"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:44.898Z";"Saretta, Andrea|Sartori, Davide";"";"2451029086";"";"dtu";"2019";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5d3d83f3d9001d32f558c2da";"";"5d3d83f3d9001d32f558c2da";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Analysis of maintenance activities at Rockwool|Analyse af vedligeholdelse hos Rockwool"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:34.451Z";"Koppmann, Christoph";"";"2452634718";"";"dtu";"2019";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5d553df0d9001d05d7613abb";"";"5d553df0d9001d05d7613abb";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Metaheuristics for an extension of the vehicle routing problem|Metaheuristikker for en forlængelse af ruteplanlægningsproblemet"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:56:35.736Z";"Debusscher, Charles Marie J";"";"2596882109";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5f4b8976d9001d01721d7ea6";"";"5f4b8976d9001d01721d7ea6";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Surrogate-based optimization under uncertainty of wind farm control using combined control strategies|Surrogat-baseret optimering med usikkerhed af vindmøllepark kontrol ved brug af kombinerede kontrolstrategier"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:34.039Z";"Jelcicova, Zuzana|Mardari, Adrian";"";"2451028655";"";"dtu";"2019";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5d3d8341d9001d32f558c134";"";"5d3d8341d9001d32f558c134";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Neural Network Engine for Hearing Aids|Hardware til realisering af neurale netværk i høreapparater."
"";"dtu|dtupub|third_party";"";"2022-01-06T23:56:32.749Z";"Refai, Walid Salah El|Khedri, Maliha";"";"2524985301";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5e808270d9001d01923ead62";"";"5e808270d9001d01923ead62";"DTU DTU National Food Institute";"sorbit";"sorbit";"Development and characterization of skinless vegan sausages|Udvikling og karakterisering af skindfrie veganske pølser"
"";"dtu|dtupub|third_party";"";"2022-01-11T08:43:15.855Z";"Rosário, Yago Fontoura do";"";"2495051162";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5e47e001d9001d015a02810a";"";"5e47e001d9001d015a02810a";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Efficient protocol for monitoring embedded devices|Effektiv protokol til overvagning af indlejrede enheder"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:42.149Z";"Christiansen, Hans Christian";"";"2497101929";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5e5cf805d9001d01632c001f";"";"5e5cf805d9001d01632c001f";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Topology optimization for fail-safe design|Topologioptimering for fail-safe design"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:20.681Z";"Buchholdt, Natasja Emilie";"";"2595389327";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5f1970afd9001d016b4e1f7c";"";"5f1970afd9001d016b4e1f7c";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Development of Pearl-Chain concrete structures spanning over a freeway|Udvikling af Perlekæde-betonkonstruktioner til overdækning af en motorvej"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:43.446Z";"Carvalho, Joana Luisa Andrade Moreira";"";"2596339140";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5f3a6623d9001d01721d7c79";"";"5f3a6623d9001d01721d7c79";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Assessment of nonlinear dynamic response of suction caissons to axial loading|Evaluering af ikke lineær dynamik opførsel af sygankre ved lodret belastning"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:56:36.724Z";"Tesfa, Ghebrehiwet Yacob";"";"2598531355";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5f75ba4bd9001d5518098b27";"";"5f75ba4bd9001d5518098b27";"DTU National Institute of Aquatic Resources";"sorbit";"sorbit";"Analysis and evaluation of mackerel stomach content and measuring the degree of deterioration at different preserving methods|Analyse og evaluering af makrellens maveindhold, samt vurdering af nedbrydningsgraden ved forskellige konserveringsmetoder"
