"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-07-31T00:09:51.915Z";"Foglia, Lorenza Pia";"";"2712907526";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"62e5c84f6654cba446fbbe67";"";"62e5c84f6654cba446fbbe67";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Study of the interaction between THz light and skin tissue|Studie af vekselvirkningen mellem THz-lys og væv"
"";"dtu|dtupub|third_party";"";"2023-07-24T00:12:38.572Z";"Bundgaard-Nielsen, Matias";"";"2727253558";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64bdc1f6b1ddc63131d848be";"";"64bdc1f6b1ddc63131d848be";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Modeling tools for quantum networks|Modelleringsredskaber til analyse af kvantenetværk"
"";"dtu|dtupub|third_party";"";"2022-10-05T00:09:29.809Z";"Georgiadou, Dorothea";"";"2714241366";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"633ccb395e2dfd33f9e4fa2c";"";"633ccb395e2dfd33f9e4fa2c";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Online tools to support small enterprise companies in tailoring project management practices|Skræddersyning af online værktøjer til support projektledelse i SMV'ere"
"";"dtu|dtupub|third_party";"";"2022-02-08T12:10:05.630Z";"Christiansen, Morten René Tang";"";"2707090085";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"62025d9d4c83171b344e82f8";"";"62025d9d4c83171b344e82f8";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Player Detection and Metadata Labeling in baseball|Detektering og metadata annotering af spillere i baseball"
"";"dtu|dtupub|third_party";"";"2022-09-06T00:09:31.371Z";"Blanck, Martin Thiebault";"";"2713511489";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"63168fbb90838f3145b49c42";"";"63168fbb90838f3145b49c42";"DTU Department of Health Technology";"sorbit";"sorbit";"Investigating radiofrequency ablations’ lesions of cardiac tissues in the treatment of arrythmia with catheter ablation|Undersøgelse af radiofrekvensablations læsioner af hjertevæv i behandlingen af arytmi med kateterablation"
"";"dtu|dtupub|third_party";"";"2023-08-28T00:09:23.326Z";"Ghatrazu, Varun";"";"2727909686";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64ebe5b3e41ac52052e796d3";"";"64ebe5b3e41ac52052e796d3";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Coverage Testing of Deep Learning Models for Agricultural Applications|Coverage Testing of Deep Learning Models for Agricultural Applications"
"";"dtu|dtupub|third_party";"";"2023-02-13T13:57:15.538Z";"Nielsen, Max Thrane";"";"2718659725";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"63e2f64401bdc72dce870c54";"";"63e2f64401bdc72dce870c54";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Streaming Process Conformance Checking Using Deep Learning|Streaming process conformance checking med dyb læring"
"";"dtu|dtupub|third_party";"";"2024-01-30T01:09:44.910Z";"Tan, Zhicun";"";"2731250762";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"65b84c5847263a3e82be75fa";"";"65b84c5847263a3e82be75fa";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Reinforcement learning for robust mobile robot navigation control|Reinforcement learning for robust styring af mobil robot"
"";"dtu|dtupub|third_party";"";"2023-07-23T00:10:54.119Z";"Subhashini, Jayashwanth Jeganathan";"";"2727248926";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64bc700eebe1bc3131a6e264";"";"64bc700eebe1bc3131a6e264";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Sensor data capturing for yield optimization|Indsamling af sensordata til optimering af udbytte"
"";"dtu|dtupub|third_party";"";"2023-07-26T00:10:16.008Z";"Mikkelsen, Mads Emil";"";"2727333120";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64c06467e38cdc3131a3565f";"";"64c06467e38cdc3131a3565f";"DTU Department of Health Technology";"sorbit";"sorbit";"Development of an ethanol degrading enzyme-based microparticle system suited for the stomach|Udvikling af et alkohol nedbrydende enzyme baseret micropartikel system egnet til maven"
"";"dtu|dtupub|third_party";"";"2023-07-31T00:11:28.087Z";"Boizumault, Lilie Gabrielle Urbanie";"";"2727406388";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64c6fc3062dc5f1f4f1b7b23";"";"64c6fc3062dc5f1f4f1b7b23";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Biomimetics applied to different industries and research fields|Biomimetik anvendt indenfor forskellige industrier og forskningsomrader"
"";"dtu|dtupub|third_party";"";"2022-07-24T00:10:11.663Z";"Kjærulff-Jørgensen, William";"";"2712806058";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"62dc8de2f8e4d654e43bd5d3";"";"62dc8de2f8e4d654e43bd5d3";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Development of Equipment for Observation of Diabetic Foot Ulcers|Udvikling af Udstyr til Observation af Diabetiske Fodsar"
