"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:19.102Z";"Macheta, Kamil";"";"2453540335";"";"dtu";"2019";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5d7784edd9001d120702567a";"";"5d7784edd9001d120702567a";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Internet of things communication framework|Kommunikation for IoT"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:40.647Z";"Mediavilla, Ana Torrijos";"";"2451175617";"";"dtu";"2019";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5d456bf3d9001d32f558c45e";"";"5d456bf3d9001d32f558c45e";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Green IoT security|Bæredygtig sikkerhed for Internet of Things"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:13.175Z";"Kadhim, Sarah Samir";"";"2435192803";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b166fe15010df01ca7af25e";"";"5b166fe15010df01ca7af25e";"DTU DTU National Food Institute";"sorbit";"sorbit";"Prediction of Listeria monocytogenes growth in chemically acidified cheese|Forudsigelse af vækst for Listeria monocytogenes i kemisk syrnet ost"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:39.542Z";"Kloster, Maren Elisabeth";"";"2438100898";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b6acff45010df018149a4dd";"";"5b6acff45010df018149a4dd";"DTU Department of Micro- and Nanotechnology";"sorbit";"sorbit";"Fabrication of Solar Cells with Tunnel Oxide and Passivated Contacts|Fremstilling af Solceller med Tunneloxid og Passiverede Kontakter"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:38.673Z";"Oltremonti, Marco";"";"2438100906";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b6acff55010df018149a4e3";"";"5b6acff55010df018149a4e3";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Tailoring microstructure and wear performance in 3D printed tool steels|Optimering af mikrostruktur og slidegenskaber i 3D printet værktøjsstal"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:14.231Z";"Hambartsumyan, David Sargis";"";"2438063769";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b5da0d35010df0180324b4d";"";"5b5da0d35010df0180324b4d";"DTU Department of Chemical and Biochemical Engineering";"sorbit";"sorbit";"Computer-Aided Molecular Design for Solvent Selection using Group-Contributions|Identifikation af solventer ved molekylært design baseret pa gruppebidrag."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:39.590Z";"Freire, Nuno Miguel Beleza Teixeira Nogueira|Silva, Daniel Molina Gomes Figueiredo E";"";"2438101098";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b6ad0085010df018149a523";"";"5b6ad0085010df018149a523";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Experimental reconstruction of the sound field in a room with unknown boundary conditions|Eksperimentel rekonstruktion af lydfeltet i et rum med ukendte overfladeegenskaber"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:37.446Z";"Andersen, Andreas Smedegård|Carton, Anders Ask";"";"2437946156";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b54678a5010df0180324a65";"";"5b54678a5010df0180324a65";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Simulation of Implant-Tissue Interaction of Percutaneous Implants|Simulering af implantat-vævs interaktion for percutane implantater"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:16.438Z";"Liang, Jiaqi";"";"2439248460";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b9ce8d1d9001d01840faeb4";"";"5b9ce8d1d9001d01840faeb4";"DTU Department of Chemistry";"sorbit";"sorbit";"Doping of graphene to synthesize carbon-metal-nitrogen composites as high-performance oxygen reduction reaction catalyst|Doping af grafen til syntetisering af carbon-metal-nitrogen-kompositter som højtydende oxygen reduktion reaktion katalysator"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:31.644Z";"Thomassen, Nicolai";"";"2438452796";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b7d457cd9001d0184726ce8";"";"5b7d457cd9001d0184726ce8";"DTU Department of Space Research and Space Technology";"sorbit";"sorbit";"Mapping of objects in synthetic aperture radar images|Kortlægning af objekter i syntetisk apertur radar billeder"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:11.177Z";"Agustsson, Ivar Hrafn";"";"2438063831";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b5da0fc5010df0180324c08";"";"5b5da0fc5010df0180324c08";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Electric vehicle battery patterns based on frequency regulation services|Brugsmønstre fra elbilsbatterier under levering af frekvensregulering"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:30.244Z";"Tramontin, Larissa Ribeiro Ramos";"";"2436371777";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b3a085a5010df021d5b4e7c";"";"5b3a085a5010df021d5b4e7c";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Metabolic engineering of yeast Yarrowia lipolytica for production of astaxanthin|Optimering af Yarrowia lipolytica cellefabrik til produktion af astaxanthin"
