"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:07:57.852Z";"Corts, Nona Fortian";"";"2371966949";"";"dtu";"2017";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Industrial Engineering and Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Industrial Engineering and Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Industrial Engineering and Management|Planl. innovation og led.|kandidat";"und";"5958d2515010df45a12b34e8";"";"5958d2515010df45a12b34e8";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Inventory management in the food industry – centralization vs. decentralization|Lagerstyring i fødevareindustrien - centralisering vs. decentralisering"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:30.013Z";"Vilella, Xavier Jarque";"";"2437945998";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b54667a5010df01803248b1";"";"5b54667a5010df01803248b1";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Portfolio optimization for investments in harbour towage - Improvement of risk management at Svitzer|Porteføljeoptimering af investeringer i havnebugseringsprojekter - Forbedring af risikostyring hos Svitzer"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:47.617Z";"Jensen, Christian Vestergren";"";"2371966992";"";"dtu";"2017";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Materials and Manufacturing Engineering|Materialetek.|kandidat";"Master of Science in Engineering|Master of Science in Materials and Manufacturing Engineering|Materialetek.|kandidat";"Master of Science in Engineering|Master of Science in Materials and Manufacturing Engineering|Materialetek.|kandidat";"und";"5958d2625010df45a12b3524";"";"5958d2625010df45a12b3524";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Battery Replacement System for Hearing Aids|System for batteriudskiftning i høreapperater"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:54:15.936Z";"Skov-Thuesen, Alexander";"";"2437945982";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b5466715010df0180324887";"";"5b5466715010df0180324887";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Development of a modular de stacker architecture|Udvikling af de-stacker modulær arkitektur"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:16.429Z";"Singh, Gurpreet";"";"2439168828";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b97a306d9001d671923a491";"";"5b97a306d9001d671923a491";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Methods of cleaning air in outdoor environment|Metoder til rensning af luft i udemiljøer"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:39.754Z";"Saporiti, Luciana";"";"2438101217";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b6ad00e5010df018149a54b";"";"5b6ad00e5010df018149a54b";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Organizational life cycle assessment of Carlsberg Group: influence of energy supply sources on environmental performance over 2015-2030|Organisatorisk livscyklusvurdering af Carlsberg Group: Energikilders indflydelse pa miljøpræstationer i 2015-2030"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:12.749Z";"Panning, Clemens Erik";"";"2396740947";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"Anvendt kemi|Master of Science in Advanced and Applied Chemistry|Master of Science in Engineering|kandidat";"und";"5a954b325010df256037657c";"";"5a954b325010df256037657c";"DTU Department of Chemistry";"sorbit";"sorbit";"Catalytic conversion of lactic acid ester to plastic monomer|Katalytisk omdannelse af mælkesyreester til plastic monomer"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:31.552Z";"Hansen, Frederik Troels";"";"2437946118";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b54676b5010df0180324a01";"";"5b54676b5010df0180324a01";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Flexibility Effects on the Dynamics of Gimbal Mounted Flywheels – Theory & Experiment|Fleksibilitetseffekter pa gimbal-monteret svinghjulsdynamik – teori og eksperiment"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:15:57.629Z";"Brøns, Michael Klemen|Kireli, Zeki Hakan";"";"2437946125";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b5467755010df0180324a14";"";"5b5467755010df0180324a14";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Applying Monte Carlo Tree Search in a Sokoban domain|Anvendelse af Monte Carlo Tree Search inden for et Sokoban domæne"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:30.092Z";"Skuggedal, Gisle Østerbø";"";"2439314115";"";"dtu";"2018";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5b9f8be9d9001d01840faecb";"";"5b9f8be9d9001d01840faecb";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Actual stress in Friction systems|Aktuelle spændinger i systemer med friktion"
