"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:28.072Z";"Johansen, Jógvan";"";"2642152883";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6040ce3cd9001d0165005599";"";"6040ce3cd9001d0165005599";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"Monitoring and control of the Biogas process|Monitorering og kontrol af biogas processen."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:27.812Z";"Rasmussen, Aksel Kaastrup";"";"2596339160";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5f3a662dd9001d01721d7ca4";"";"5f3a662dd9001d01721d7ca4";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Reconstruction methods for the Calderón problem in three dimensions|Rekonstruktionsmetoder for Calderonproblemet i tre dimensioner"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:32.025Z";"Gijsbers, Bart Jan Andreas";"";"2697798454";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"613c8e88d9001d01625ca13b";"";"613c8e88d9001d01625ca13b";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"Effect of increased Circularity Potential of windows on VOC-emissions in the indoor environment|Effekt af øget cirkularitetspotentiale for vinduer med hensyn til VOC-emissioner og indeklima"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:17:00.949Z";"Baldursdóttir, Sveinbjörg Sara";"";"2697934587";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"61408315d9001d0162167923";"";"61408315d9001d0162167923";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Evacuation Modelling of Indoor Playgrounds|Evacuation Modelling of Indoor Playgrounds"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:55:19.611Z";"Ye, Johan Ziruo";"";"2688529929";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"609d0915d9001d01650a4c96";"";"609d0915d9001d01650a4c96";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Geometric disentanglement of latent variables|Geometrisk disentanglement af latente variable"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:20.348Z";"Fernstrøm, Keld";"";"2496058589";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5e550f20d9001d0164073ef6";"";"5e550f20d9001d0164073ef6";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Investigating the relationship between Quality of Service and energy efficiency in wireless backhaul radio links|Undersøgelse af sammenhængen mellem Quality of Service og energieffektivitet i tradløse backhaul radioforbindelser"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:54:27.425Z";"Wahlgreen, Morten Ryberg";"";"2524918457";"";"dtu";"2020";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"5e7ded7fd9001d016d012cc1";"";"5e7ded7fd9001d016d012cc1";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Scientific Computing for Model Predictive Control|Scientific computing til model prædiktiv regulering"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:56:40.327Z";"Xenofontos, Christos";"";"2692305257";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"61110d17d9001d0162157918";"";"61110d17d9001d0162157918";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"rTLS: Proof-of-Concept and Empirical Evaluation|rTLS: Proof-of-Concept og empirisk evaluering"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:54.582Z";"Gomes, Nikolas Murphy";"";"2685708633";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"606458a1d9001d016653055d";"";"606458a1d9001d016653055d";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Complex Robotic Geometries using Time of Flight 3D Localization|Kompleks robotgeometri ved brug af time-of-flight 3D lokalisering"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:25.085Z";"Bossen, Mathias Schak";"";"2686813922";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"608be5a4d9001d563877ebc5";"";"608be5a4d9001d563877ebc5";"DTU Department of Space Research and Space Technology";"sorbit";"sorbit";"Optimization of the TOTEM instruments for the International Space Station|Optimering af TOTEM instrumenterne til Den Internationale Rumstation"
