"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:06:01.655Z";"Thorning-Schmidt, Martin William";"";"2691894198";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"60fd46bfd9001d01622e8db8";"";"60fd46bfd9001d01622e8db8";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Color Flicker-Fusion Frequency color dependence & mapping that with the SSVEP signal induced by 40 Hz temporal modulated light, with colors extended beyond RGB|Color Flicker-Fusion Frekvens farveafhængighed og kortlægning med SSVEP-signalet induceret af 40 Hz tidsmæssigt moduleret lys med farver"
"";"dtu|dtupub|third_party";"";"2022-03-28T11:09:58.001Z";"Tzingizis, Veniamin";"";"2708873601";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"624197855d32b9db73e7c9eb";"";"624197855d32b9db73e7c9eb";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Sentiment Analysis of social media data for predicting Cryptocurrency Market Behaviour|Sentimentanalyse af data fra sociale medier til forudsigelse af kryptovaluta markedet"
"";"dtu|dtupub|third_party";"";"2022-03-04T12:10:04.432Z";"Jensen, Magnus Gilsborg|Birkedahl, Rune";"";"2708239220";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6222019c92bdf454d849fad0";"";"6222019c92bdf454d849fad0";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Development of modular product and production architecture at Linak|Udvikling af modulær produkt og produktionsarkitektur hos Linak"
"";"dtu|dtupub|third_party";"";"2022-02-09T12:31:53.939Z";"Bøchman, Mikkel|Pedersen, Jacob Krabbe";"";"2707111921";"";"dtu";"2022";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6203af36a911461bb6c35b30";"";"6203af36a911461bb6c35b30";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Security in satellite communication|Sikkerhed i satellitkommunikation"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:31.121Z";"Savery, Oliver Birk|Naylor, Thomas Stub";"";"2692075621";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"61052f9ed9001d01622e8e72";"";"61052f9ed9001d01622e8e72";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Investigation into how visual input affects the perception of auditory stimuli using VR technology|Undersøgelse af hvordan visuelt input pavirker opfattelsen af auditorisk stimuli med brug af VR teknologi"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:54:38.685Z";"Velmans, Paula Emilie|Bauman, Isabelle Anthony";"";"2692123559";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6107d2c0d9001d01622e8eb1";"";"6107d2c0d9001d01622e8eb1";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Floating offshore wind energy: Techno-socio-economic perspectives and their influence on wind farm design and optimization|Flydende vindmøller: Tekniske og socio-økonomiske aspekter og deres indflydelse pa design og optimering af vindmølleparken"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:13:33.676Z";"Ntovom, Ntaniel Barzegkar";"";"2697839973";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"613f3192d9001d01625ca144";"";"613f3192d9001d01625ca144";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Electric Vehicle (EV) charging location optimisation in the urban Danish context: a machine learning approach|Elektrisk køretøjs (EV) opladningsplaceringsoptimering i bydansk sammenhæng: en maskinindlæringsmetode"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:06:01.559Z";"Wismann, Bjørn Thoke";"";"2692166317";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"610a75aed9001d01621578e5";"";"610a75aed9001d01621578e5";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Material independent calculation model for primary structures in the early design stage|Materialeuafhængig beregnings-model for primærekonstruktioner i det tidlige designstadie"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:30.524Z";"Ioannis, Nakis";"";"2692912629";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"61223098d9001d0478369058";"";"61223098d9001d0478369058";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Relationship between microstructure and corrosion properties of austenitic stainless steel after cold deformation|Sammenhæng mellem mikrostruktur og korrosionsegenskaber for austenitisk rustfrit stal efter kold deformation"
"";"dtu|dtupub|third_party";"";"2022-01-06T23:56:38.459Z";"Deichmann, Marcus";"";"2626729309";"";"dtu";"2021";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"60364282d9001d01656e1ca8";"";"60364282d9001d01656e1ca8";"DTU Department of Biotechnology and Biomedicine";"sorbit";"sorbit";"Modular Systems for Synthetic Mating-Induced Cellular Fusion in Saccharomyces cerevisiae|Modulære systemer til syntetisk parring og cellefusion i bagegær Saccharomyces cerevisiae"
