abstract_ts;access_ss;Affiliations;Timestamp;Author;citation_count_i;ID;dtu_library_collection_facet;collection_facet;Publication Year;Conference;DOI;Editor;embargo_ssf;format;fulltext_availability_facet;has_openaccess_fulltext_b;holdings_ssf;ISBN;Journal Issue;journal_issue_tsort;journal_oa_model_ss;Journal Page;journal_page_start_tsort;Journal Title;journal_title_facet;toc_key_s;Journal Volume;journal_vol_tsort;keywords_ts;keywords_facet;keywords_normalized;isolanguage_facet;member_id_ss;ORCID;primary_member_id_s;Publisher;Source;source_all_ss;Title
;dtu|dtupub|third_party;;2023-07-31T00:10:35.569Z;Chauhan, Arvind;;2727406339;;dtu;2023;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;64c6fbfb857f871f4fafae8c;;64c6fbfb857f871f4fafae8c;DTU Department of Environmental and Resource Engineering;sorbit;sorbit;Developing a map of circular economy initiatives for Denmark's cement manufacturing industry to integrate with the EU-TIMES energy-climate mitigation model|Udvikling af et kort over cirkulær økonomi-initiativer for Danmarks cementfremstillingsindustri til integration med EU-TIMES energi-klima-afbødningsmodel
;dtu|dtupub|third_party;;2023-08-09T00:10:42.727Z;Forrest, Joshua Penrod;;2727571113;;dtu;2023;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;64d2d98293c7ad1f4fad602a;;64d2d98293c7ad1f4fad602a;DTU Department of Wind and Energy Systems;sorbit;sorbit;Real-time estimation of wind turbine inflow using a numerical hub-mounted LIDAR and Proper Orthogonal Decomposition|Estimering i realtid af vindmølleindstrømning ved hjælp af en numerisk navmonteret LIDAR og Proper Orthogonal Decomposition
;dtu|dtupub|third_party;;2024-03-20T01:09:42.893Z;Rilling, Henriette Clara Sophie;;2734505207;;dtu;2024;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;65fa37567d6f2f1e2eb8bcc0;;65fa37567d6f2f1e2eb8bcc0;DTU Department of Environmental and Resource Engineering;sorbit;sorbit;Machine Learning Models for (semi-) Automatic Cleaning of Hydrological Time Series Data|Maskinlæringsteknikker til automatisk rensning af hydrologiske tidsserier
;dtu|dtupub|third_party;;2023-09-27T00:09:26.995Z;Majtan, Matej;;2728725469;;dtu;2023;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;651372b6f0c92e122334a4bb;;651372b6f0c92e122334a4bb;DTU Department of Applied Mathematics and Computer Science;sorbit;sorbit;A formal Alice and Bob-style language and translator for automated privacy verification|Et formelt Alice og Bob-baseret sprog til automatisk verifikation af privacy
;dtu|dtupub|third_party;;2024-03-14T07:15:07.115Z;Bencze, Barna|Hohmann, Mercédesz;;2734362965;;dtu;2024;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;65f2a3eb45be901e23c91d81;;65f2a3eb45be901e23c91d81;DTU Department of Technology, Management and Economics;sorbit;sorbit;AI-Driven Dichotomy: The Dual Impact of AI Development on Startup Success and Dependency on Generative Technologies|AI-Drevet Dikotomi: Den To-Sidet Effekt af AI-Udvikling pa Startup Succes og Afhængighed af Generative Teknologier
;dtu|dtupub|third_party;;2023-08-28T00:09:18.780Z;He, Chuan;;2727909680;;dtu;2023;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;64ebe5ae42a580205296663e;;64ebe5ae42a580205296663e;DTU Department of Energy Conversion and Storage;sorbit;sorbit;Conductive polymers and their composites as coating films on metal plates for fuel cell applications|Ledende polymerer og komposit belægningsfilm pa metalplader for brændselscelle applikationer
;dtu|dtupub|third_party;;2023-07-24T00:12:33.655Z;Fornetti, Stefano;;2727253548;;dtu;2023;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;64bdc1f1694aba3131290721;;64bdc1f1694aba3131290721;DTU Department of Electrical and Photonics Engineering;sorbit;sorbit;Development of a quantum light emitter with controllable excitonic fine structure splitting|Udvikling af en kvantelyskilde med kontrollerbar excitonisk finstruktur
;dtu|dtupub|third_party;;2024-03-20T01:09:51.918Z;Farooq, Aamir Ahmad|Refsgaard, Lars Kristian Burchard;;2734506026;;dtu;2024;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;65fa375f2a83a81e2e536b41;;65fa375f2a83a81e2e536b41;DTU Department of Applied Mathematics and Computer Science;sorbit;sorbit;Reading The Reader: an intelligent system for optimizing typography for central vision loss readers|Reading The Reader: et intelligent system til at optimere typografi for personer med centralt synstab
;dtu|dtupub|third_party;;2023-08-20T00:10:53.615Z;Sikorskis, Jonas;;2727784001;;dtu;2023;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;64e15a0b5fccaf2052c1b86d;;64e15a0b5fccaf2052c1b86d;DTU Department of Electrical and Photonics Engineering;sorbit;sorbit;Build the smallest terahertz cross correlation spectroscopy system in the world|Byg verdens mindste terahertz krydskorrelationsspektroskopisystem
;dtu|dtupub|third_party;;2024-09-10T09:15:07.568Z;Marcussen, Signe;;2737227488;;dtu;2024;;;;;thesis;dtu|dtu_electronic|dtupub|dtupub_electronic;;;;;;;;;;;;;;;;;und;668496e9d579c51cdf09f7d8;;668496e9d579c51cdf09f7d8;DTU Department of Health Technology;sorbit;sorbit;Improved prediction of TCR-pHLA interactions by integration of incomplete paired TCR data|Forbedret forudsigelse af TCR-pHLA interaktioner vha integration af inkomplet parret TCR data
