filename,num_tot_pages,num_cont_pages,match_trigger
2292733976.txt,113,107,exact ('references')
2292733996.txt,97,56,exact ('bibliography')
2292734004.txt,58,51,exact ('appendix')
2292734010.txt,139,120,exact ('bibliography')
2292734011.txt,102,89,exact ('bibliography')
2292734014.txt,124,85,prefix-match ('appendix a')
2292734015.txt,105,97,title-page ('appendices')
2292734018.txt,236,151,exact ('references')
2292734026.txt,128,70,exact ('references')
2292734031.txt,114,99,prefix-match ('appendix a')
2292734043.txt,108,89,exact ('bibliography')
2292734050.txt,130,119,exact ('bibliography')
2292734058.txt,65,51,exact ('references')
2292734063.txt,192,100,exact ('references')
2292734069.txt,129,106,prefix-match ('appendix c')
2292734077.txt,124,112,title-page ('appendix a')
2292734080.txt,124,79,prefix-match ('appendix a')
2292734081.txt,113,88,exact ('references')
2292734083.txt,74,70,exact ('bibliography')
2292734084.txt,144,127,prefix-match ('appendix a')
2292734089.txt,201,137,exact ('references')
2292734094.txt,111,102,exact ('references')
2292734095.txt,112,93,exact ('bibliography')
2292734097.txt,79,58,exact ('references')
2292734098.txt,122,87,prefix-match ('appendix a')
2292734100.txt,94,75,prefix-match ('appendix a')
2292734106.txt,134,98,exact ('references')
2292734108.txt,75,56,exact ('bibliography')
2292734114.txt,97,89,exact ('bibliography')
2292734117.txt,76,59,exact ('references')
2292734119.txt,127,115,title-page ('appendices')
2292734124.txt,84,84,
2292734126.txt,100,92,exact ('bibliography')
2292734133.txt,116,93,exact ('bibliography')
2292734136.txt,86,63,prefix-match ('appendix a')
2292734137.txt,126,106,exact ('bibliography')
2292734142.txt,83,83,exact ('bibliography')
2292734145.txt,118,93,exact ('bibliography')
2292734150.txt,97,93,prefix-match ('appendix a')
2292734156.txt,139,111,exact ('bibliography')
2292734161.txt,124,115,exact ('references')
2292734168.txt,131,97,exact ('bibliography')
2292734171.txt,129,68,exact ('references')
2292734173.txt,77,75,exact ('bibliography')
2292734183.txt,89,74,title-page ('bibliography')
2292734192.txt,57,49,prefix-match ('appendix a')
2292734197.txt,74,59,prefix-match ('appendix a')
2292734198.txt,50,41,exact ('references')
2292734224.txt,58,55,exact ('bibliography')
2292734232.txt,59,56,exact ('bibliography')
2292734238.txt,89,85,exact ('bibliography')
2292734239.txt,150,117,exact ('references')
2292734246.txt,145,110,prefix-match ('appendix a')
2292734251.txt,96,91,title-page ('appendix a')
2292734281.txt,73,49,exact ('bibliography')
2292734286.txt,138,109,exact ('bibliography')
2292734330.txt,134,114,exact ('litteratur')
2292734333.txt,137,57,prefix-match ('appendix a')
2292734334.txt,70,65,exact ('references')
2292734404.txt,124,81,prefix-match ('appendix a')
2292734418.txt,63,50,exact ('references')
2292734465.txt,120,96,prefix-match ('appendix a. matlab code')
2292734466.txt,138,81,exact ('bibliography')
2292734476.txt,68,67,exact ('bibliography')
2292734477.txt,134,102,exact ('bibliography')
2292734485.txt,88,86,exact ('bibliography')
2292734492.txt,112,109,exact ('references')
2292734523.txt,61,45,exact ('bibliography')
2292734524.txt,124,89,exact ('bibliography')
2292734559.txt,263,89,exact ('bibliography')
2292734577.txt,57,55,exact ('references')
2292734620.txt,70,63,prefix-match ('appendix a')
2292734624.txt,106,83,exact ('bibliography')
2292734625.txt,122,113,exact ('references')
2292734626.txt,138,105,exact ('list of figures')
