pdf_file,num_tot_pages,num_cont_pages,match_trigger,num_words_full,num_words_cont
5cee68eed9001d2064299318_Deep Reinforcement Learning Applying an actor-critic network to a search and rescue robotics setting (translated Deep Re.pdf,61,51,exact  ('references'),20540,17924
5cf3aee6d9001d2064299346_Human response to increased temperatures in offices (translated Humane respons til forøget temperatur i kontormiljø).pdf,93,93,,17468,17468
5d04d261d9001d010a45c03d_Comparativ analysis of intervention strategies for a high rise building using Fire Brigade Intervention Model indsatsstr.pdf,177,82,exact  ('referencer'),88265,31165
5d1c8d6bd9001d146569a4b3_Characterising eye-motion patterns in patients with autistic spectrum disorders using machine learning (translated Karak.pdf,70,48,numeric-prefix exact  ('9 appendix'),13062,11509
5d1c8d79d9001d146569a4dc_Deep speech recognition in Danish (translated Dyb talegenkendelse pa dansk).pdf,170,170,,54681,54681
5d1c8d7bd9001d146569a4ec_Impact of probiotic tropodithietic acid (TDA) producing Phaeobacter piscinae on microbial community members related to a.pdf,66,49,numeric-prefix exact  ('6 list of figures'),23077,17399
5d1c8d83d9001d146569a4fd_Storage of heat in the pipeline of existing district heating grid with heat pump supply (translated Lagring af varme i r.pdf,112,71,exact  ('references'),37507,27532
5d1c8d92d9001d146569a522_Investigating the impact of blade desing parameters on blade stability using CFD (translated Undersøgelse af virkningen .pdf,88,82,"prefix-match  ('appendix a', prefix='appendix')",20979,20306
"5d25c7e1d9001d2d454f05ac_Facilitating longitudinal interaction in a learning environment, using microgoals.pdf",58,56,exact  ('bibliography'),9476,9086
5d34488fd9001d016b24698d_Vulnerability assessment of European fisheries to climate change (translated Analyse af Europas fiskeris sarbarhed over .pdf,67,30,exact  ('references'),23605,12965
"688179c3e3c31f0102091152_Chemically enhanced bioremediation of 1,2-cis-dichloroethylene in a limestone aquifer (translated Kemisk stimuleret bio-.pdf",122,76,exact  ('bibliography'),29838,21100
688179c467232d0102eacfc4_Bayesian Optimization for Hyperparameter Optimization in Linear Gaussian Models (translated Bayesiansk optimering til hy.pdf,40,35,exact  ('bibliography'),10059,9257
688179cab4828e010294aa2b_Modelling price volatility in the maritime sector for decarbonization (translated Modellering af prisvolatilitet i den m.pdf,144,76,exact  ('references'),37977,28787
6882cb453a64980102753dbe_Inverse Reinforcement Learning for Decision Making in Autonomous Ship Navigation (translated Inverse Reinforcement Learn.pdf,158,144,exact  ('bibliography'),61351,57424
6882cb49016f110102ce9a4e_Algorithms for Text Indexing (translated Algoritmer for tekstindeksering).pdf,34,27,exact  ('bibliography'),11311,9139
68841cc293f4890102a19a57_Locally Consistent Parsing (translated Lokalt konstistent parsing).pdf,69,64,"prefix-match  ('appendix and references', prefix='appendix')",37812,36239
68841cc3762f9c0102790a14_Parallel Compression Algorithms (translated Paralleliserede Kompressionsalgoritmer).pdf,59,56,"prefix-match  ('referencess184009 25th june 2025', prefix='references')",26689,26056
68841cc4b47df20102b023e0_Approximation Algorithms for Replenishment Problems with Fixed Turnover Times (translated Approksimations algoritmer til.pdf,34,33,exact  ('bibliography'),14801,14743
68841cc6439dc00102b37cac_Assessment of solar energy in Greenland Analyzing potential and resource availability (translated Analyse af potentialet.pdf,73,51,exact  ('references'),16185,14681
68856e3fa0dada0102354c58_Frequency-based Substructuring using Scanning Laser Doppler Vibrometry (translated Frekvens-baseret substrukturering ved.pdf,70,66,numeric-prefix exact  ('7 references'),18975,18131
TEST.pdf,28,23,exact  ('references'),9502,7698
dtu_findit-master_thesis-5cf10bded9001d206429933c_Restoration of marine boulder reefs addressing the single large or several small (SLOSS) debate in relation to marine ha.pdf,29,24,exact  ('references'),9603,7793
dtu_findit-master_thesis-5d3d82e9d9001d32f558c087_Spatial variation and uncertainty in contaminant characterization of clayey tills (translated Rumlig variation og usikke.pdf,140,90,exact  ('bibliography'),32338,26105
