filename;handin_month;corrupt_cid
5c7a72ffd9001d361b4cd3ec_Heart segmentation using deep learning (translated Segmentering af hjertestrukturer via deep learning).pdf;January 2019;False
5c7a72fdd9001d361b4cd3e4_Coronary atherosclerotic plaque assesment using deep learning (translated Vurdering af graden af areforkalkning i kransp.pdf;February 2019;False
5c7a72ffd9001d361b4cd3e8_Coronary Atherosclerotic Plaque assesment using deep learning (translated Vurdering af graden af areforkalkning i kransp.pdf;February 2019;False
5c7a7302d9001d361b4cd3f2_Heart segmentation using deep learning (translated Segmentering af hjertestrukturer via deep learning).pdf;January 1973;False
5ce52e6ad9001d016b1cc373_Production line using several collaborative robots with adaptive safety limitations (translated Produktionslinie med fle.pdf;October 2022;False
5ce67fe8d9001d016b4fccc3_Reliability of smoke detectors exposed to theatrical smoke (translated Palideligheden af detektorer under anvendelse af .pdf;April 2019;False
5ce3dceed9001d016b1cc368_Diode pumped Tm laser for Q-switched applications (translated Diode pumpede Tm laser til Q-switched anvendelser).pdf;April 2019;False
5ce67fe9d9001d016b4fccc7_Experimental analysis of CO2 vapour liquid equilibrium on solvent for biogas upgrading (translated Eksperimentel analyse.pdf;April 2019;False
5cde96e3d9001d016b180b34_Investigating the understandability of the fragment-based case management approach.pdf;April 2019;False
5cdd4565d9001d016b6b0a26_Golf club detection and identification using deep learning on embedded devices (translated Golfkølledetektion og identif.pdf;May 2019;False
