filename,num_tot_pages,num_cont_pages,num_words_full,num_words_cont,num_figures,num_tables,num_references,total_sentences,total_words,unique_words,avg_sentence_length,avg_word_length,lexical_diversity,flesch_kincaid_grade,handin_month,abstract_ts,Author,num_authors,Publication Year,primary_member_id_s,Title,Department_new
6944a5d282aef745ffbeca1c_Utility of geometry information for matched room acoustic simulations for XR (translated Nytte af geometriinformation ti.txt,50,47,13103,12622,49,2,29.0,515.0,12074.0,2690.0,23.44,5.27,0.223,14.3,February 2025,,"Cui, Qi",1,2025,6944a5d282aef745ffbeca1c,Utility of geometry information for matched room acoustic simulations for XR|Nytte af geometriinformation til matchede rumakustiske simuleringer for XR,DTU Electro
5d3d8387d9001d32f558c1c5_Characterisation of the extracellular matrix turnover profile in a translational ex vivo cartilage explant model receivi.txt,128,71,35767,21036,35,8,127.0,1175.0,19414.0,2709.0,16.52,5.24,0.14,11.3,June 2019,,"Groen, Solveig Skovlund",1,2019,5d3d8387d9001d32f558c1c5,Characterisation of the extracellular matrix turnover profile in a translational ex vivo cartilage explant model receiving long-term disease-modifying treatment and mechanical compression|Karakterisering af extracellulær matrix turnover profil i translationel ex vivo brusk explant model der behandles langvarigt med sygdomsmodificerende stoffer og med mekanisk kompression.,DTU Bioengineering
62c2ca80186c9e250ab59c3a_Physics-Constrained Surrogate Modelling for Computational Hydraulics (translated Surrogat modellering med fysiske modell.txt,1,1,16,16,0,0,,1.0,16.0,14.0,16.0,7.56,0.875,18.0,,,"Sørensen, Anton Jakob",1,2022,62c2ca80186c9e250ab59c3a,Physics-Constrained Surrogate Modelling for Computational Hydraulics|Surrogat modellering med fysiske modeller som betingelser til Computational Hydraulics,DTU Compute
60f55d9bd9001d0162248999_Acoustic characterization of human skin based on acoustic holography (translated Akustisk karakterisering af menneskehud.txt,74,71,24201,23856,58,6,33.0,1158.0,22158.0,2714.0,19.13,4.82,0.122,10.9,June 2021,,"Hartenstein, Matthieu Claude Antoine",1,2021,60f55d9bd9001d0162248999,Acoustic characterization of human skin based on acoustic holography|Akustisk karakterisering af menneskehud med akustisk holografi,DTU Electro
5e5ba68ad9001d016b3f370b_Design of an automated fermentation control system (translated Design af et automatisk fermenterings kontrol system).txt,88,65,15885,11965,53,4,,604.0,11698.0,2282.0,19.37,4.94,0.195,11.4,,,"Ondrus, Stanislav",1,2020,5e5ba68ad9001d016b3f370b,Design of an automated fermentation control system|Design af et automatisk fermenterings kontrol system,DTU Compute
5e5ba68ad9001d016b3f370b_Design of an automated fermentation control system (translated Design af et automatisk fermenterings kontrol system).txt,88,65,15885,11965,53,4,,604.0,11698.0,2282.0,19.37,4.94,0.195,11.4,,,"Ondrus, Stanislav",1,2020,5e5ba68ad9001d016b3f370b,Design of an automated fermentation control system|Design af et automatisk fermenterings kontrol system,DTU Compute
62989a7f36b0b31a6b6ffc5e_Validation of Meteorological Data by Machine Learning (translated Validering af meteologiske data vha. machine learning).txt,114,104,32246,29313,28,18,110.0,1174.0,27175.0,4029.0,23.15,5.94,0.148,16.0,March 2019,,"Sahebzadeh, Ahmad Josef",1,2022,62989a7f36b0b31a6b6ffc5e,Validation of Meteorological Data by Machine Learning|Validering af meteologiske data vha. machine learning,DTU Engineering Technology
64bc6ffacab98f3131b4819e_Exploring the nature of the first proto-clusters in our Universe (translated Udforskning af naturen af de første protoho.txt,58,51,19821,17127,26,6,,842.0,16621.0,3078.0,19.74,4.6,0.185,9.8,June 2023,,"Sillassen, Nikolaj Bjerregaard",1,2023,64bc6ffacab98f3131b4819e,Exploring the nature of the first proto-clusters in our Universe|Udforskning af naturen af de første protohobe i vores univers,DTU Space
64bc6ffacab98f3131b4819e_Exploring the nature of the first proto-clusters in our Universe (translated Udforskning af naturen af de første protoho.txt,58,51,19821,17127,26,6,,842.0,16621.0,3078.0,19.74,4.6,0.185,9.8,June 2023,,"Sillassen, Nikolaj Bjerregaard",1,2023,64bc6ffacab98f3131b4819e,Exploring the nature of the first proto-clusters in our Universe|Udforskning af naturen af de første protohobe i vores univers,DTU Space
64a3637af623ab91520ba355_Optimization of Ventilation Principle And Use Of Energy In Operating Theatres (translated Optimering af ventilationsprin.txt,110,92,32277,27404,111,26,47.0,1161.0,23825.0,2447.0,20.52,4.78,0.103,11.6,June 2023,,"Holm, Laura Røtzler",1,2023,64a3637af623ab91520ba355,Optimization of Ventilation Principle And Use Of Energy In Operating Theatres|Optimering af ventilationsprincip og energiforbrug pa operationsstuer,DTU Sustain
6886c00c8472640102ff5df1_Air nonlinearity for high frequency loudspeakers (translated ulineariteter i luftens indflydelse pa disktant højttalere).txt,38,37,9553,9539,22,0,4.0,435.0,9053.0,1863.0,20.81,5.0,0.206,12.6,June 2025,,"Mowlavi, Jonathan Darius",1,2025,6886c00c8472640102ff5df1,Air nonlinearity for high frequency loudspeakers|ulineariteter i luftens indflydelse pa disktant højttalere,DTU Electro
62dc8de2e9ed7b54e4c7f2ec_Investigation of methods for estimating interfacial tensions (translated Undersøgelse af metoder for estimeringen af græ.txt,213,111,56872,39409,19,140,56.0,2163.0,31739.0,3584.0,14.67,4.85,0.113,8.7,June 2022,,"Valiantzas, Christos",1,2022,62dc8de2e9ed7b54e4c7f2ec,Investigation of methods for estimating  interfacial tensions|Undersøgelse af metoder for estimeringen af grænseflade spænding,DTU Chemical Engineering
62dc8de2e9ed7b54e4c7f2ec_Investigation of methods for estimating interfacial tensions (translated Undersøgelse af metoder for estimeringen af græ.txt,213,111,56872,39409,19,140,56.0,2163.0,31739.0,3584.0,14.67,4.85,0.113,8.7,June 2022,,"Valiantzas, Christos",1,2022,62dc8de2e9ed7b54e4c7f2ec,Investigation of methods for estimating  interfacial tensions|Undersøgelse af metoder for estimeringen af grænseflade spænding,DTU Chemical Engineering
62dc8de2e9ed7b54e4c7f2ec_Investigation of methods for estimating interfacial tensions (translated Undersøgelse af metoder for estimeringen af græ.txt,213,111,56872,39409,19,140,56.0,2163.0,31739.0,3584.0,14.67,4.85,0.113,8.7,June 2022,,"Valiantzas, Christos",1,2022,62dc8de2e9ed7b54e4c7f2ec,Investigation of methods for estimating  interfacial tensions|Undersøgelse af metoder for estimeringen af grænseflade spænding,DTU Chemical Engineering
